name,leaf_group,hierarchy_path,level_0,level_1,level_2,level_3,level_4,level_5,level_6,outline_level
Освежитель Мастер Фреш Горная лаванда 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Мастер Фреш Морской бриз 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Мастер Фреш Свежесть океана 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Мастер Фреш см баллон Свежесть водопада 250мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Мастер Фреш см баллон Цветочный рай 250мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель О!СВЕЖООО Сирень 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Парфюмированный Mariee базилик ветивер пачули 250мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Парфюмированный Mariee цветок апельсина ваниль 250мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Ароматизатор ДЕЛИСС для авто подвесн 4мл ассорти,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Ароматические гелевые шарики Бризаль Лавандовый букет,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Ароматическое саше Бризаль для белья 20г Кашемировый уют,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Ароматическое саше Бризаль для белья 20г Шелковые объятия,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Освежитель Грасс воздуха Milana Oud Rood 300мл,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Поглотитель запаха Бризаль Био для холодильника 80г,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Спрей Aroma Harmony Ветивер и Шалфей 300мл,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Спрей Aroma Harmony Личи и Персик 300мл,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
